raw_stage,target,k,R2,MSE,WAIC,alpha_fixed,feature_added
4_6_7_8,y_mean,4,0.7202152264779027,0.62782071491595,2114.6702674725484,0.7296897803152862,mother_y
4_6_7_8,y_mean,5,0.870270556567232,0.2911053053256169,1434.1804944410578,0.7296897803152862,mother_2d_couple_yz_xi_xj
4_6_7_8,y_mean,6,0.870270556567232,0.2911053053256169,1436.1804944410578,0.7296897803152862,mother_y_adj_xi2_xj
4_6_7_8,y_mean,7,0.9308518253327578,0.15516447127631933,879.4514127415091,0.7296897803152862,mother_z
4_6_7_8,y_mean,8,0.9352183421754372,0.1453662621337943,823.5279221941232,0.7296897803152862,mother_x_adj_xi_xj
4_6_7_8,y_mean,9,0.9352725534519905,0.14524461519077542,824.7845054803071,0.7296897803152862,mother_x_adj_xj_pow2
4_6_7_8,y_mean,10,0.9352725534519905,0.14524461519077542,826.7845054803071,0.7296897803152862,mother_2d_couple_xy_xi_xj2
4_6_7_8,y_mean,11,0.9352725534519905,0.14524461519077542,828.7845054803071,0.7296897803152862,mother_y_adj_xi_xj_pow3
4_6_7_8,y_mean,12,0.9360185515782625,0.1435706389015509,820.490675291627,0.7296897803152862,mother_z_z_z
4_6_7_8,y_mean,13,0.9360185511042846,0.14357063996512975,822.490681869978,0.7296897803152862,mother_y_adj_xj_pow3
4_6_7_8,y_mean,14,0.9415035889351981,0.1312625349564302,744.9012156265418,0.7296897803152862,mother_2d_couple_yz_xi_xj2
4_6_7_8,y_mean,15,0.922909628808674,0.1729862970925818,992.0007440527486,0.7296897803152862,mother_2d_couple_xz_xi2_xj
4_6_7_8,y_mean,16,0.9286678807249396,0.16006511561002168,925.0638132803258,0.7296897803152862,mother_x_adj_xj_pow3
4_6_7_8,y_mean,17,0.9355397497104898,0.14464504236941647,837.111235940148,0.7296897803152862,mother_x_adj_xi_xj2
4_6_7_8,y_mean,18,0.9369158926873005,0.1415570577852248,819.9482967162932,0.7296897803152862,mother_2d_couple_xy_xi_xj_pow2
4_6_7_8,y_mean,19,0.9364771808854943,0.14254150148308833,828.1024250922857,0.7296897803152862,mother_2d_couple_yz_xi_xj_pow3
4_6_7_8,y_mean,20,0.9364771808854943,0.14254150148308833,830.1024250922857,0.7296897803152862,mother_3d_couple_prod_sq_xy2z
4_6_7_8,y_half,1,-5.054175242392555,8.11540724435613,4381.297607834535,0.7363911081116968,mother_y_adj_xj
