feature_added,R2,MSE,WAIC,R2_gain,WAIC_gain,MSE_drop,prev_R2,prev_WAIC,prev_MSE,composite_score,k,raw_stage,target,target_index
mother_2d_couple_yz_xi_xj_pow3,0.6910868283919613,0.5460942101369091,1969.1003926523176,0.0058536647760522,14.369117211317873,0.0103480613197693,0.6852331636159091,1983.469509863636,0.5564422714566785,0.9999999999145486,11,8_to_12,x_half,2
mother_y_y_y,0.6927461492905331,0.5431608760522781,1966.4038371116355,0.0016593208985717,2.6965555406825388,0.0029333340846309,0.6910868283919613,1969.1003926523176,0.5460942101369091,0.9999999996984864,12,8_to_12,x_half,2
mother_y_adj_xi_xj_pow3,0.693251910615317,0.5422667952666067,1966.9672814717967,0.0005057613247838,-0.5634443601618386,0.0008940807856714,0.6927461492905331,1966.4038371116355,0.5431608760522781,0.4999999990113914,13,8_to_12,x_half,2
mother_z_adj_xi2_xj,0.6936103841010414,0.5416330887333997,1967.9476445697624,0.0003584734857243,-0.9803630979652098,0.000633706533207,0.693251910615317,1966.9672814717967,0.5422667952666067,0.4999999986051967,14,8_to_12,x_half,2
mother_z_adj_xj_pow3,0.6938150130873768,0.5412713472638396,1969.365065788656,0.0002046289863354,-1.417421218893196,0.00036174146956,0.6936103841010414,1967.9476445697624,0.5416330887333997,0.4999999975565534,15,8_to_12,x_half,2
mother_x_adj_xj_pow2,0.6939259664401648,0.541075204822786,1971.0490187515184,0.0001109533527879,-1.6839529628630316,0.0001961424410535,0.6938150130873768,1969.365065788656,0.5412713472638396,0.4999999954936017,16,8_to_12,x_half,2
mother_x_adj_xi_xj,0.6944691169664914,0.5401150277085641,1971.500216998558,0.0005431505263265,-0.4511982470394287,0.0009601771142219,0.6939259664401648,1971.0490187515184,0.541075204822786,0.4999999990794448,17,8_to_12,x_half,2
mother_2d_couple_xz_xi_xj,0.6947775446924713,0.5395697916652884,1972.619504661733,0.0003084277259799,-1.1192876631748732,0.0005452360432757,0.6944691169664914,1971.500216998558,0.5401150277085641,0.4999999983788746,18,8_to_12,x_half,2
mother_2d_couple_xy_xi_xj,0.6949106615147507,0.5393344688218491,1974.2391159094625,0.0001331168222793,-1.6196112477296083,0.0002353228434393,0.6947775446924713,1972.619504661733,0.5395697916652884,0.4999999962439008,19,8_to_12,x_half,2
mother_x_adj_xi2_xj,0.6949539619734382,0.5392579226206548,1976.115346655974,4.3300458687500765e-05,-1.87623074651151,7.654620119434963e-05,0.6949106615147507,1974.2391159094625,0.5393344688218491,0.4999999884527784,20,8_to_12,x_half,2
